S.N.,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
1,11% NIC Asia Debenture 082/83,1,1011.00,1011.00,1011.00,25.00,25275.00,1011.00,0.00
2,Agriculture Development Bank Limited,95,369.00,363.00,365.00,11059.00,4034153.00,369.00,-4.00
3,Ankhu Khola Jalvidhyut Company Ltd,22,58.00,55.00,57.00,300.00,17160.00,56.00,1.00
4,Api Power Company Ltd.,65,113.00,110.00,112.00,24541.00,2728621.00,113.00,-1.00
5,Arun Kabeli Power Ltd.,68,118.00,112.00,115.00,54453.00,6233464.00,114.00,1.00
6,Arun Valley Hydropower Development Co. Ltd.,8,93.00,91.00,91.00,2050.00,188600.00,93.00,-2.00
7,Asha Laghubitta Bittiya Sanstha Ltd,114,589.00,552.00,580.00,7565.00,4358295.00,565.00,15.00
8,Asian Life Insurance Co. Limited,33,386.00,380.00,381.00,11573.00,4429543.00,382.00,-1.00
9,Bank of Kathmandu Ltd.,82,228.00,221.00,225.00,22613.00,5039105.00,226.00,-1.00
10,Best Finance Company Ltd.,13,90.00,86.00,90.00,3921.00,348705.00,85.00,5.00
11,Bishal Bazar Company Limited,7,1856.00,1819.00,1819.00,190.00,346910.00,1853.00,-34.00
12,Butwal Power Company Limited,55,310.00,305.00,309.00,11483.00,3515787.00,309.00,0.00
13,Central Finance Co. Ltd.,22,130.00,126.00,127.00,5132.00,658398.00,132.00,-5.00
14,Century Commercial Bank Ltd.,53,170.00,167.00,170.00,13213.00,2229584.00,169.00,1.00
15,Chhimek Laghubitta Bikas Bank Limited,71,858.00,835.00,856.00,9722.00,8272075.00,839.00,17.00
16,Chhyangdi Hydropower Ltd.,5,86.00,84.00,86.00,155.00,13180.00,85.00,1.00
17,Chilime Hydropower Company Limited,34,380.00,368.00,372.00,3624.00,1344970.00,373.00,-1.00
18,Citizen Bank International Limited,56,196.00,192.00,194.00,8453.00,1644654.00,193.00,1.00
19,Citizen Investment Trust,39,2099.00,2073.00,2077.00,2557.00,5321693.00,2091.00,-14.00
20,Citizens Mutual Fund -1,5,9.30,9.27,9.27,4500.00,41809.00,9.45,-0.18
